latitude,longitude,Attacktype,Weapontype,Deaths
14.52618,46.844932,Armed Assault,Firearms,1
36.881337,4.66188,Armed Assault,Firearms,2
18.442701,1.411332,Hostage Taking (Kidnapping),Unknown,1
13.063399,44.880882,Assassination,Firearms,1
13.129726,45.385571,Armed Assault,Firearms,1
35.703845,4.572282,Bombing/Explosion,Explosives,1
36.81694,3.85722,Armed Assault,Firearms,1
13.887403,45.863647,Bombing/Explosion,Explosives,13
16.615866,-7.254218,Bombing/Explosion,Explosives,1
15.45639,45.324871,Armed Assault,Firearms,0
36.767847,3.604741,Bombing/Explosion,Explosives,3
13.129726,45.385571,Armed Assault,Firearms,1
13.683741,46.081752,Armed Assault,Firearms,3
13.932036,46.083254,Armed Assault,Firearms,3
32.533287,45.829453,Bombing/Explosion,Explosives,0
36.684583,4.665693,Bombing/Explosion,Explosives,0
14.691211,46.933789,Bombing/Explosion,Explosives,0
14.279772,47.575336,Bombing/Explosion,Explosives,2
18.73694,7.38528,Hostage Taking (Kidnapping),Firearms,0
13.219398,45.307838,Assassination,Explosives,0
13.887403,45.863647,Unknown,Unknown,2
14.719504,46.868266,Unknown,Unknown,2
14.208576,45.816908,Unknown,Unknown,1
14.38252,47.399537,Unknown,Unknown,6
15.325443,44.211895,Armed Assault,Firearms,2
14.38252,47.399537,Bombing/Explosion,Explosives,0
14.309823,46.937905,Armed Assault,Firearms,3
35.567009,45.385494,Bombing/Explosion,Explosives,1
36.762758,4.584531,Bombing/Explosion,Explosives,5
13.683741,46.081752,Bombing/Explosion,Explosives,0
14.54397,49.12458,Armed Assault,Firearms,1
12.825647,44.846416,Bombing/Explosion,Explosives,2
13.683741,46.081752,Bombing/Explosion,Explosives,0
13.683741,46.081752,Assassination,Firearms,1
13.932036,46.083254,Bombing/Explosion,Explosives,2
13.129726,45.385571,Unknown,Unknown,3
14.54397,49.12458,Assassination,Firearms,1
36.724419,3.619247,Bombing/Explosion,Explosives,1
52.829397,-1.332046,Bombing/Explosion,Explosives,0
25.185573,55.303363,Bombing/Explosion,Explosives,0
14.719504,46.868266,Bombing/Explosion,Explosives,0
33.303566,44.371773,Bombing/Explosion,Explosives,21
33.303566,44.371773,Bombing/Explosion,Explosives,2
33.303566,44.371773,Bombing/Explosion,Explosives,2
33.303566,44.371773,Bombing/Explosion,Explosives,2
33.303566,44.371773,Bombing/Explosion,Explosives,2
33.303566,44.371773,Bombing/Explosion,Explosives,2
33.303566,44.371773,Bombing/Explosion,Explosives,1
33.303566,44.371773,Bombing/Explosion,Explosives,1
33.303566,44.371773,Bombing/Explosion,Explosives,1
33.303566,44.371773,Bombing/Explosion,Explosives,1
33.303566,44.371773,Bombing/Explosion,Explosives,1
33.303566,44.371773,Bombing/Explosion,Explosives,1
33.303566,44.371773,Bombing/Explosion,Explosives,1
33.303566,44.371773,Bombing/Explosion,Explosives,1
13.219398,45.307838,Unknown,Unknown,3
13.702663,44.73357,Bombing/Explosion,Explosives,2
16.249994,45.478097,Bombing/Explosion,Explosives,16
16.249994,45.478097,Assassination,Explosives,16
17.060139,43.599369,Bombing/Explosion,Explosives,41
