latitude,longitude,Attacktype,Deaths,nkill,nkill2
33.303566,44.371773,Bombing/Explosion,23,23,1.380211242
33.303566,44.371773,Assassination,5,5,0.77815125
33.303566,44.371773,Bombing/Explosion,2,2,0.477121255
33.303566,44.371773,Bombing/Explosion,20,20,1.322219295
32.469238,44.416637,Bombing/Explosion,8,8,0.954242509
33.303566,44.371773,Bombing/Explosion,0,0.5,0.176091259
33.303566,44.371773,Hostage Taking (Kidnapping),0,0.5,0.176091259
33.303566,44.371773,Armed Assault,0,0.5,0.176091259
33.303566,44.371773,Armed Assault,0,0.5,0.176091259
51.504387,-0.140041,Bombing/Explosion,8,8,0.954242509
51.504387,-0.140041,Bombing/Explosion,27,27,1.447158031
51.504387,-0.140041,Bombing/Explosion,7,7,0.903089987
51.504387,-0.140041,Bombing/Explosion,14,14,1.176091259
33.303566,44.371773,Assassination,1,1,0.301029996
33.287345,44.319487,Bombing/Explosion,25,25,1.414973348
33.848618,44.522125,Armed Assault,12,12,1.113943352
33.848618,44.522125,Bombing/Explosion,2,2,0.477121255
33.303566,44.371773,Bombing/Explosion,3,3,0.602059991
33.303566,44.371773,Bombing/Explosion,8,8,0.954242509
33.303566,44.371773,Assassination,3,3,0.602059991
51.504387,-0.140041,Bombing/Explosion,0,0.5,0.176091259
33.303566,44.371773,Hostage Taking (Kidnapping),2,2,0.477121255
51.504387,-0.140041,Bombing/Explosion,0,0.5,0.176091259
51.504387,-0.140041,Bombing/Explosion,0,0.5,0.176091259
51.504387,-0.140041,Bombing/Explosion,0,0.5,0.176091259
36.803982,42.093945,Bombing/Explosion,44,44,1.653212514
33.74324,44.623825,Bombing/Explosion,8,8,0.954242509
33.303566,44.371773,Bombing/Explosion,160,160,2.206825876
33.303566,44.371773,Bombing/Explosion,4,4,0.698970004
33.375759,44.702866,Bombing/Explosion,30,30,1.491361694
33.303566,44.371773,Bombing/Explosion,10,10,1.041392685
36.376823,42.448875,Bombing/Explosion,6,6,0.84509804
16.917494,43.762409,Armed Assault,12,12,1.113943352
32.824731,70.067644,Bombing/Explosion,8,8,0.954242509
31.950001,35.933331,Bombing/Explosion,20,20,1.322219295
31.950001,35.933331,Bombing/Explosion,20,20,1.322219295
31.950001,35.933331,Bombing/Explosion,21,21,1.342422681
33.303566,44.371773,Bombing/Explosion,35,35,1.556302501
33.303566,44.371773,Bombing/Explosion,36,36,1.568201724
59.402479,17.944322,Facility/Infrastructure Attack,0,0.5,0.176091259
33.303566,44.371773,Hostage Taking (Kidnapping),0,0.5,0.176091259
33.303566,44.371773,Bombing/Explosion,2,2,0.477121255
23.84422,89.049414,Bombing/Explosion,0,0.5,0.176091259
23.905927,89.054947,Bombing/Explosion,0,0.5,0.176091259
36.70993,67.1157,Bombing/Explosion,0,0.5,0.176091259
34.208416,43.890713,Bombing/Explosion,0,0.5,0.176091259
25.932228,49.664617,Bombing/Explosion,4,4,0.698970004
33.303566,44.371773,Bombing/Explosion,90,90,1.959041392
33.303566,44.371773,Hostage Taking (Kidnapping),1,1,0.301029996
33.303566,44.371773,Bombing/Explosion,6,6,0.84509804
3.115641,43.64658,Assassination,11,11,1.079181246
32.684554,70.009858,Bombing/Explosion,9,9,1
31.502407,34.459743,Bombing/Explosion,0,0.5,0.176091259
33.420948,43.295662,Hostage Taking (Kidnapping),1,1,0.301029996
36.805258,3.813209,Bombing/Explosion,0,0.5,0.176091259
36.28611,5.60722,Bombing/Explosion,15,15,1.204119983
36.81694,3.85722,Bombing/Explosion,0,0.5,0.176091259
36.86318,3.88035,Bombing/Explosion,0,0.5,0.176091259
36.757011,3.482869,Assassination,1,1,0.301029996
36.891243,4.123217,Bombing/Explosion,0,0.5,0.176091259
36.639167,4.383889,Bombing/Explosion,1,1,0.301029996
36.76029,3.472395,Bombing/Explosion,0,0.5,0.176091259
36.724419,3.619247,Bombing/Explosion,4,4,0.698970004
36.691273,3.588857,Bombing/Explosion,0,0.5,0.176091259
36.686703,4.266169,Bombing/Explosion,2,2,0.477121255
36.733333,3.966667,Bombing/Explosion,0,0.5,0.176091259
36.553405,3.108938,Bombing/Explosion,0,0.5,0.176091259
36.763763,3.055413,Bombing/Explosion,0,0.5,0.176091259
36.729435,3.498687,Armed Assault,0,0.5,0.176091259
36.727778,3.553889,Armed Assault,0,0.5,0.176091259
36.63709,3.69474,Armed Assault,0,0.5,0.176091259
36.721944,3.913056,Armed Assault,0,0.5,0.176091259
36.069432,1.989646,Bombing/Explosion,4,4,0.698970004
33.420948,43.295662,Bombing/Explosion,2,2,0.477121255
33.163559,43.863106,Bombing/Explosion,2,2,0.477121255
33.520717,44.024424,Bombing/Explosion,1,1,0.301029996
33.303566,44.371773,Bombing/Explosion,0,0.5,0.176091259
33.303566,44.371773,Bombing/Explosion,8,8,0.954242509
36.76029,3.472395,Assassination,0,0.5,0.176091259
34.949444,6.003611,Armed Assault,3,3,0.602059991
35.05,0.783333,Armed Assault,15,15,1.204119983
36.763763,3.055413,Bombing/Explosion,30,30,1.491361694
33.303566,44.371773,Bombing/Explosion,8,8,0.954242509
36.770538,3.512263,Armed Assault,2,2,0.477121255
33.59,-7.61,Bombing/Explosion,2,2,0.477121255
36.72398,3.670848,Armed Assault,0,0.5,0.176091259
36.654051,3.679096,Bombing/Explosion,0,0.5,0.176091259
33.303566,44.371773,Bombing/Explosion,127,127,2.10720997
36.75,5.85,Assassination,1,1,0.301029996
36.651559,3.328976,Armed Assault,1,1,0.301029996
36.192589,44.004623,Bombing/Explosion,19,19,1.301029996
36.866667,6.9,Bombing/Explosion,2,2,0.477121255
36.85,6.05,Bombing/Explosion,0,0.5,0.176091259
36.35,6.6,Bombing/Explosion,1,1,0.301029996
33.773349,45.14945,Armed Assault,16,16,1.230448921
36.716365,4.049834,Hostage Taking (Kidnapping),0,0.5,0.176091259
36.604073,3.699024,Armed Assault,0,0.5,0.176091259
33.74324,44.623825,Bombing/Explosion,3,3,0.602059991
35.303047,44.329933,Bombing/Explosion,0,0.5,0.176091259
33.303566,44.371773,Assassination,1,1,0.301029996
36.742004,3.726194,Bombing/Explosion,1,1,0.301029996
36.686703,4.266169,Armed Assault,1,1,0.301029996
36.35,6.6,Bombing/Explosion,0,0.5,0.176091259
36.35,6.6,Bombing/Explosion,0,0.5,0.176091259
36.8825,4.661944,Bombing/Explosion,3,3,0.602059991
33.693409,44.796085,Hostage Taking (Kidnapping),15,15,1.204119983
32.874886,44.281016,Bombing/Explosion,15,15,1.204119983
33.74324,44.623825,Bombing/Explosion,1,1,0.301029996
34.208416,43.890713,Bombing/Explosion,0,0.5,0.176091259
34.790665,44.662151,Bombing/Explosion,18,18,1.278753601
36.747752,3.773732,Bombing/Explosion,0,0.5,0.176091259
55.863239,-4.427852,Armed Assault,1,1,0.301029996
35.194012,6.915436,Assassination,1,1,0.301029996
34.533753,43.483738,Bombing/Explosion,1,1,0.301029996
15.434043,45.48023,Bombing/Explosion,9,9,1
36.501,3.77396,Unknown,1,1,0.301029996
36.536834,4.215102,Assassination,0,0.5,0.176091259
36.562222,3.594444,Bombing/Explosion,11,11,1.079181246
36.891243,4.123217,Bombing/Explosion,1,1,0.301029996
33.006516,70.068253,Bombing/Explosion,25,25,1.414973348
36.691273,3.588857,Bombing/Explosion,0,0.5,0.176091259
36.63059,4.289494,Bombing/Explosion,3,3,0.602059991
36.56522,3.153934,Assassination,0,0.5,0.176091259
36.202354,41.687168,Bombing/Explosion,250,250,2.399673721
36.183247,41.591599,Bombing/Explosion,250,250,2.399673721
36.748247,3.948864,Bombing/Explosion,0,0.5,0.176091259
34.208416,43.890713,Armed Assault,3,3,0.602059991
33.74324,44.623825,Hostage Taking (Kidnapping),0,0.5,0.176091259
35.024167,8.024722,Bombing/Explosion,6,6,0.84509804
33.594013,73.069077,Bombing/Explosion,18,18,1.278753601
35.55,6.166667,Bombing/Explosion,16,16,1.230448921
34.417522,3.831195,Assassination,1,1,0.301029996
36.919552,3.891396,Bombing/Explosion,30,30,1.491361694
36.724419,3.619247,Bombing/Explosion,0,0.5,0.176091259
33.420948,43.295662,Bombing/Explosion,3,3,0.602059991
36.803501,3.563821,Bombing/Explosion,3,3,0.602059991
33.953167,44.921906,Armed Assault,14,14,1.176091259
36.564444,3.154167,Bombing/Explosion,1,1,0.301029996
36.562222,3.594444,Bombing/Explosion,1,1,0.301029996
33.74324,44.623825,Bombing/Explosion,20,20,1.322219295
36.789167,3.677222,Assassination,1,1,0.301029996
36.72398,3.670848,Bombing/Explosion,2,2,0.477121255
36.335801,4.262044,Bombing/Explosion,0,0.5,0.176091259
36.919552,3.891396,Bombing/Explosion,0,0.5,0.176091259
33.349159,43.784199,Armed Assault,1,1,0.301029996
33.737099,44.490696,Bombing/Explosion,1,1,0.301029996
31.98958,44.923775,Facility/Infrastructure Attack,10,10,1.041392685
31.98958,44.923775,Facility/Infrastructure Attack,10,10,1.041392685
33.773349,45.14945,Armed Assault,1,1,0.301029996
34.208416,43.890713,Armed Assault,6,6,0.84509804
33.74324,44.623825,Bombing/Explosion,7,7,0.903089987
33.19392,44.408577,Armed Assault,14,14,1.176091259
33.8925,44.709722,Armed Assault,22,22,1.361727836
33.773349,45.14945,Armed Assault,22,22,1.361727836
34.271034,45.163567,Armed Assault,2,2,0.477121255
33.74324,44.623825,Armed Assault,1,1,0.301029996
33.953167,44.921906,Unknown,4,4,0.698970004
33.848618,44.522125,Armed Assault,5,5,0.77815125
36.763763,3.055413,Bombing/Explosion,20,20,1.322219295
36.763763,3.055413,Bombing/Explosion,19,19,1.301029996
35.815556,43.443889,Assassination,5,5,0.77815125
36.287615,4.129991,Bombing/Explosion,0,0.5,0.176091259
36.727778,3.553889,Bombing/Explosion,2,2,0.477121255
36.562222,3.594444,Bombing/Explosion,0,0.5,0.176091259
36.562222,3.594444,Bombing/Explosion,2,2,0.477121255
33.594013,73.069077,Assassination,20,20,1.322219295
34.057114,44.218292,Armed Assault,1,1,0.301029996
33.74324,44.623825,Bombing/Explosion,8,8,0.954242509
36.745632,3.830243,Bombing/Explosion,5,5,0.77815125
33.848618,44.522125,Armed Assault,0,0.5,0.176091259
33.303566,44.371773,Unknown,1,1,0.301029996
33.303566,44.371773,Bombing/Explosion,90,90,1.959041392
32.926684,69.920086,Bombing/Explosion,7,7,0.903089987
33.303566,44.371773,Bombing/Explosion,11,11,1.079181246
36.73914,3.901676,Bombing/Explosion,3,3,0.602059991
33.543086,9.970034,Hostage Taking (Kidnapping),0,0.5,0.176091259
36.680349,4.208192,Armed Assault,1,1,0.301029996
36.772659,5.958971,Bombing/Explosion,1,1,0.301029996
33.303566,44.371773,Bombing/Explosion,56,56,1.755874856
31.50547,74.34288,Bombing/Explosion,27,27,1.447158031
33.571807,44.536067,Armed Assault,5,5,0.77815125
35.271023,43.458084,Bombing/Explosion,4,4,0.698970004
34.621521,43.668377,Armed Assault,5,5,0.77815125
33.671638,73.056068,Bombing/Explosion,1,1,0.301029996
33.368418,6.867525,Assassination,2,2,0.477121255
15.325443,44.211895,Bombing/Explosion,2,2,0.477121255
34.621521,43.668377,Armed Assault,4,4,0.698970004
34.186336,45.126056,Bombing/Explosion,1,1,0.301029996
33.74324,44.623825,Bombing/Explosion,0,0.5,0.176091259
36.891243,4.123217,Armed Assault,1,1,0.301029996
15.325443,44.211895,Bombing/Explosion,0,0.5,0.176091259
33.303566,44.371773,Unknown,4,4,0.698970004
33.693947,45.067425,Bombing/Explosion,7,7,0.903089987
36.562222,3.594444,Bombing/Explosion,1,1,0.301029996
33.693947,45.067425,Bombing/Explosion,6,6,0.84509804
33.74324,44.623825,Armed Assault,0,0.5,0.176091259
15.45639,45.324871,Armed Assault,1,1,0.301029996
34.010471,44.148235,Armed Assault,4,4,0.698970004
15.45639,45.324871,Bombing/Explosion,0,0.5,0.176091259
33.420948,43.295662,Bombing/Explosion,14,14,1.176091259
33.74324,44.623825,Bombing/Explosion,42,42,1.633468456
15.964205,48.78252,Bombing/Explosion,0,0.5,0.176091259
36.535577,3.834176,Hostage Taking (Kidnapping),1,1,0.301029996
33.693947,45.067425,Bombing/Explosion,36,36,1.568201724
33.693947,45.067425,Hostage Taking (Kidnapping),0,0.5,0.176091259
36.266667,2.75,Armed Assault,9,9,1
33.303566,44.371773,Armed Assault,1,1,0.301029996
36.727778,3.553889,Hostage Taking (Kidnapping),0,0.5,0.176091259
33.744999,45.545616,Assassination,2,2,0.477121255
12.825647,44.846416,Bombing/Explosion,0,0.5,0.176091259
36.737011,6.716271,Bombing/Explosion,1,1,0.301029996
36.740312,3.174597,Bombing/Explosion,0,0.5,0.176091259
36.740312,3.174597,Bombing/Explosion,1,1,0.301029996
34.347343,45.383274,Armed Assault,5,5,0.77815125
36.562222,3.594444,Bombing/Explosion,2,2,0.477121255
36.562222,3.594444,Bombing/Explosion,10,10,1.041392685
36.66774,3.59115,Bombing/Explosion,2,2,0.477121255
34.023571,44.031361,Unknown,4,4,0.698970004
33.773349,45.14945,Hostage Taking (Kidnapping),0,0.5,0.176091259
35.210234,4.188366,Unknown,3,3,0.602059991
36.845,4.573889,Bombing/Explosion,0,0.5,0.176091259
36.845,4.573889,Bombing/Explosion,2,2,0.477121255
36.526829,4.277452,Bombing/Explosion,2,2,0.477121255
41.106178,28.689863,Armed Assault,6,6,0.84509804
36.79778,3.7175,Bombing/Explosion,0,0.5,0.176091259
36.501,3.77396,Bombing/Explosion,0,0.5,0.176091259
33.716995,44.679516,Hostage Taking (Kidnapping),1,1,0.301029996
36.562222,3.594444,Bombing/Explosion,1,1,0.301029996
33.303566,44.371773,Armed Assault,7,7,0.903089987
33.303566,44.371773,Bombing/Explosion,24,24,1.397940009
33.303566,44.371773,Bombing/Explosion,8,8,0.954242509
36.716365,4.049834,Bombing/Explosion,1,1,0.301029996
36.802253,3.565254,Bombing/Explosion,9,9,1
36.772659,5.958971,Assassination,3,3,0.602059991
36.72398,3.670848,Bombing/Explosion,44,44,1.653212514
36.37489,3.902,Bombing/Explosion,12,12,1.113943352
36.37489,3.902,Bombing/Explosion,3,3,0.602059991
33.716995,44.679516,Hostage Taking (Kidnapping),0,0.5,0.176091259
35.55,6.166667,Armed Assault,7,7,0.903089987
36.74472,4.37222,Bombing/Explosion,0,0.5,0.176091259
22.734151,-12.467545,Hostage Taking (Kidnapping),12,12,1.113943352
15.325443,44.211895,Bombing/Explosion,16,16,1.230448921
33.303566,44.371773,Bombing/Explosion,2,2,0.477121255
36.75,5.85,Bombing/Explosion,0,0.5,0.176091259
33.74324,44.623825,Hostage Taking (Kidnapping),0,0.5,0.176091259
36.723166,3.914166,Armed Assault,2,2,0.477121255
33.303566,44.371773,Bombing/Explosion,12,12,1.113943352
33.303566,44.371773,Bombing/Explosion,1,1,0.301029996
33.303566,44.371773,Bombing/Explosion,8,8,0.954242509
33.303566,44.371773,Bombing/Explosion,8,8,0.954242509
36.919552,3.891396,Bombing/Explosion,4,4,0.698970004
35.870833,2.028889,Armed Assault,6,6,0.84509804
33.571743,44.536211,Armed Assault,2,2,0.477121255
36.178248,5.458124,Bombing/Explosion,2,2,0.477121255
36.8,4.266667,Hostage Taking (Kidnapping),1,1,0.301029996
15.325443,44.211895,Bombing/Explosion,1,1,0.301029996
36.8,4.266667,Assassination,1,1,0.301029996
36.767596,3.7029,Armed Assault,1,1,0.301029996
33.303566,44.371773,Bombing/Explosion,32,32,1.51851394
33.303566,44.371773,Bombing/Explosion,0,0.5,0.176091259
33.303566,44.371773,Bombing/Explosion,0,0.5,0.176091259
13.511596,2.125385,Hostage Taking (Kidnapping),0,0.5,0.176091259
35.905778,0.774386,Bombing/Explosion,3,3,0.602059991
33.403057,43.911865,Facility/Infrastructure Attack,0,0.5,0.176091259
36.266667,2.216667,Armed Assault,1,1,0.301029996
15.0408,2.705,Hostage Taking (Kidnapping),1,1,0.301029996
35.407139,8.120864,Bombing/Explosion,7,7,0.903089987
36.673564,5.481713,Bombing/Explosion,9,9,1
33.31065,44.038208,Bombing/Explosion,34,34,1.544068044
34.347343,45.383274,Armed Assault,1,1,0.301029996
34.96725,7.907657,Bombing/Explosion,1,1,0.301029996
15.914915,48.650745,Bombing/Explosion,7,7,0.903089987
34.96725,7.907657,Bombing/Explosion,4,4,0.698970004
35.1575,8.195556,Bombing/Explosion,2,2,0.477121255
15.325443,44.211895,Bombing/Explosion,1,1,0.301029996
34.485829,7.518017,Bombing/Explosion,1,1,0.301029996
34.271034,45.163567,Bombing/Explosion,16,16,1.230448921
36.522222,4.203056,Armed Assault,2,2,0.477121255
36.893792,4.420652,Unknown,1,1,0.301029996
33.303566,44.371773,Bombing/Explosion,6,6,0.84509804
33.303566,44.371773,Bombing/Explosion,10,10,1.041392685
33.303566,44.371773,Bombing/Explosion,2,2,0.477121255
33.303566,44.371773,Bombing/Explosion,4,4,0.698970004
33.303566,44.371773,Bombing/Explosion,12,12,1.113943352
33.303566,44.371773,Bombing/Explosion,12,12,1.113943352
33.303566,44.371773,Bombing/Explosion,12,12,1.113943352
33.303566,44.371773,Bombing/Explosion,7,7,0.903089987
36.742004,3.726194,Bombing/Explosion,0,0.5,0.176091259
33.74324,44.623825,Bombing/Explosion,0,0.5,0.176091259
36.786668,3.603268,Armed Assault,2,2,0.477121255
36.79885,6.15721,Bombing/Explosion,0,0.5,0.176091259
36.672703,3.809529,Bombing/Explosion,10,10,1.041392685
13.707198,1.77831,Hostage Taking (Kidnapping),0,0.5,0.176091259
16.77532,-3.008265,Armed Assault,1,1,0.301029996
36.077754,4.462888,Bombing/Explosion,19,19,1.301029996
35.036841,7.021988,Armed Assault,5,5,0.77815125
18.079275,-15.965107,Hostage Taking (Kidnapping),1,1,0.301029996
16.266667,-0.05,Unknown,28,28,1.462397998
35.584338,5.860815,Bombing/Explosion,0,0.5,0.176091259
36.919552,3.891396,Bombing/Explosion,1,1,0.301029996
35.400171,0.139933,Unknown,2,2,0.477121255
18.079275,-15.965107,Bombing/Explosion,1,1,0.301029996
36.72398,3.670848,Bombing/Explosion,43,43,1.643452676
21.543155,39.174905,Assassination,1,1,0.301029996
36.592604,4.487702,Bombing/Explosion,0,0.5,0.176091259
36.519439,4.146745,Armed Assault,1,1,0.301029996
36.612083,3.98778,Armed Assault,7,7,0.903089987
33.74324,44.623825,Assassination,0,0.5,0.176091259
36.866624,4.249595,Hostage Taking (Kidnapping),0,0.5,0.176091259
14.681553,48.851287,Armed Assault,5,5,0.77815125
33.74324,44.623825,Assassination,2,2,0.477121255
15.914432,2.397368,Hostage Taking (Kidnapping),0,0.5,0.176091259
18.1,-15.95,Hostage Taking (Kidnapping),0,0.5,0.176091259
34.621521,43.668377,Assassination,6,6,0.84509804
33.303566,44.371773,Bombing/Explosion,26,26,1.431363764
33.303566,44.371773,Bombing/Explosion,26,26,1.431363764
33.303566,44.371773,Bombing/Explosion,26,26,1.431363764
33.303566,44.371773,Bombing/Explosion,27,27,1.447158031
33.303566,44.371773,Bombing/Explosion,27,27,1.447158031
36.376823,42.448875,Bombing/Explosion,2,2,0.477121255
42.331685,-83.047924,Bombing/Explosion,0,0.5,0.176091259
15.6207,4.7832,Unknown,4,4,0.698970004
27.560076,68.215714,Hostage Taking (Kidnapping),0,0.5,0.176091259
17.905421,6.04542,Hostage Taking (Kidnapping),1,1,0.301029996
33.303566,44.371773,Bombing/Explosion,3,3,0.602059991
33.303566,44.371773,Bombing/Explosion,5,5,0.77815125
33.303566,44.371773,Bombing/Explosion,6,6,0.84509804
33.303566,44.371773,Bombing/Explosion,1,1,0.301029996
33.303566,44.371773,Bombing/Explosion,0,0.5,0.176091259
33.303566,44.371773,Bombing/Explosion,20,20,1.322219295
33.303566,44.371773,Bombing/Explosion,19,19,1.301029996
36.188889,42.8025,Bombing/Explosion,0,0.5,0.176091259
15.325443,44.211895,Assassination,1,1,0.301029996
30.510054,47.778095,Bombing/Explosion,12,12,1.113943352
30.510054,47.778095,Bombing/Explosion,6,6,0.84509804
32.469238,44.416637,Bombing/Explosion,43,43,1.643452676
36.724419,3.619247,Bombing/Explosion,2,2,0.477121255
15.45639,45.324871,Bombing/Explosion,0,0.5,0.176091259
12.825647,44.846416,Armed Assault,13,13,1.146128036
22.785,5.52278,Unknown,11,11,1.079181246
13.129726,45.385571,Assassination,1,1,0.301029996
33.31065,44.038208,Bombing/Explosion,1,1,0.301029996
33.31065,44.038208,Bombing/Explosion,1,1,0.301029996
33.31065,44.038208,Bombing/Explosion,1,1,0.301029996
33.31065,44.038208,Bombing/Explosion,0,0.5,0.176091259
33.31065,44.038208,Bombing/Explosion,0,0.5,0.176091259
36.73914,3.901676,Bombing/Explosion,4,4,0.698970004
13.129726,45.385571,Bombing/Explosion,2,2,0.477121255
13.129726,45.385571,Armed Assault,3,3,0.602059991
33.303566,44.371773,Bombing/Explosion,43,43,1.643452676
34.363503,41.115997,Assassination,5,5,0.77815125
14.52618,46.844932,Armed Assault,5,5,0.77815125
14.52618,46.844932,Armed Assault,9,9,1
36.662321,4.079895,Bombing/Explosion,2,2,0.477121255
15.325443,44.211895,Armed Assault,3,3,0.602059991
33.303566,44.371773,Bombing/Explosion,8,8,0.954242509
33.303566,44.371773,Bombing/Explosion,8,8,0.954242509
12.838674,44.868883,Bombing/Explosion,1,1,0.301029996
13.683741,46.081752,Armed Assault,3,3,0.602059991
14.52618,46.844932,Armed Assault,1,1,0.301029996
36.881337,4.66188,Armed Assault,2,2,0.477121255
