latitude,longitude
12.852693,44.894836
12.852693,44.894836
-1.28518,36.821107
-6.813546,39.239418
12.825647,44.846416
12.825647,44.846416
40.697132,-73.931351
40.697132,-73.931351
38.878742,-77.100006
40.018464,-78.907197
48.856644,2.34233
33.671638,73.056068
34.417122,70.449593
33.819136,10.855024
24.891115,67.143311
31.002735,66.405617
31.631083,65.742226
34.516895,69.147011
25.389288,68.357338
12.533136,47.922339
34.417122,70.449593
31.631083,65.742226
-4.090508,39.647758
-4.041179,39.677612
34.516895,69.147011
34.417122,70.449593
34.417122,70.449593
34.417122,70.449593
31.631083,65.742226
31.631083,65.742226
34.417122,70.449593
34.417122,70.449593
31.631083,65.742226
24.64732,46.714581
24.64732,46.714581
24.64732,46.714581
24.64732,46.714581
34.516895,69.147011
31.60063,64.369652
16.893194,42.57526
33.303566,44.371773
24.64732,46.714581
41.106178,28.689863
41.106178,28.689863
33.594013,73.069077
40.465595,-3.696263
40.465595,-3.696263
40.465595,-3.696263
40.465595,-3.696263
40.465595,-3.696263
40.465595,-3.696263
34.006004,71.53743
24.089097,38.063963
26.218399,50.195902
32.687926,69.832993
32.306099,69.579956
24.64732,46.714581
24.64732,46.714581
32.386811,69.689823
32.306099,69.579956
33.744999,45.545616
33.303566,44.371773
33.303566,44.371773
33.303566,44.371773
21.543155,39.174905
33.303566,44.371773
35.064873,43.551613
32.622868,69.839325
24.64732,46.714581
33.303566,44.371773
33.303566,44.371773
34.621521,43.668377
30.510054,47.778095
33.303566,44.371773
36.354145,43.14357
33.303566,44.371773
32.777344,44.289352
33.74324,44.623825
33.303566,44.371773
33.303566,44.371773
34.010471,44.148235
33.74324,44.623825
35.45211,44.375465
36.354145,43.14357
32.000596,44.330818
33.303566,44.371773
33.303566,44.371773
33.31065,44.038208
34.621521,43.668377
33.303566,44.371773
33.303566,44.371773
33.303566,44.371773
33.303566,44.371773
33.303566,44.371773
33.420948,43.295662
33.303566,44.371773
33.303566,44.371773
33.303566,44.371773
33.303566,44.371773
33.303566,44.371773
32.469238,44.416637
32.469238,44.416637
31.631083,65.742226
33.303566,44.371773
33.303566,44.371773
33.303566,44.371773
33.303566,44.371773
33.303566,44.371773
33.303566,44.371773
32.469238,44.416637
33.303566,44.371773
33.303566,44.371773
33.303566,44.371773
33.303566,44.371773
51.504387,-0.140041
51.504387,-0.140041
51.504387,-0.140041
51.504387,-0.140041
33.303566,44.371773
33.287345,44.319487
33.848618,44.522125
33.848618,44.522125
33.303566,44.371773
33.303566,44.371773
33.303566,44.371773
51.504387,-0.140041
33.303566,44.371773
51.504387,-0.140041
51.504387,-0.140041
51.504387,-0.140041
36.803982,42.093945
33.74324,44.623825
33.303566,44.371773
33.303566,44.371773
33.375759,44.702866
33.303566,44.371773
36.376823,42.448875
16.917494,43.762409
32.824731,70.067644
31.950001,35.933331
31.950001,35.933331
31.950001,35.933331
33.303566,44.371773
33.303566,44.371773
59.402479,17.944322
33.303566,44.371773
33.303566,44.371773
23.84422,89.049414
23.905927,89.054947
36.70993,67.1157
34.208416,43.890713
25.932228,49.664617
33.303566,44.371773
33.303566,44.371773
33.303566,44.371773
3.115641,43.64658
32.684554,70.009858
31.502407,34.459743
33.420948,43.295662
36.805258,3.813209
36.28611,5.60722
36.81694,3.85722
36.86318,3.88035
36.757011,3.482869
36.891243,4.123217
36.639167,4.383889
36.76029,3.472395
36.724419,3.619247
36.691273,3.588857
36.686703,4.266169
36.733333,3.966667
36.553405,3.108938
36.763763,3.055413
36.729435,3.498687
36.727778,3.553889
36.63709,3.69474
36.721944,3.913056
36.069432,1.989646
33.420948,43.295662
33.163559,43.863106
33.520717,44.024424
33.303566,44.371773
33.303566,44.371773
36.76029,3.472395
34.949444,6.003611
35.05,0.783333
36.763763,3.055413
33.303566,44.371773
36.770538,3.512263
33.59,-7.61
36.72398,3.670848
36.654051,3.679096
33.303566,44.371773
36.75,5.85
36.651559,3.328976
36.192589,44.004623
36.866667,6.9
36.85,6.05
36.35,6.6
33.773349,45.14945
36.716365,4.049834
36.604073,3.699024
33.74324,44.623825
35.303047,44.329933
33.303566,44.371773
36.742004,3.726194
36.686703,4.266169
36.35,6.6
36.35,6.6
36.8825,4.661944
33.693409,44.796085
32.874886,44.281016
33.74324,44.623825
34.208416,43.890713
34.790665,44.662151
36.747752,3.773732
55.863239,-4.427852
35.194012,6.915436
34.533753,43.483738
15.434043,45.48023
36.501,3.77396
36.536834,4.215102
36.562222,3.594444
36.891243,4.123217
33.006516,70.068253
36.691273,3.588857
36.63059,4.289494
36.56522,3.153934
36.202354,41.687168
36.183247,41.591599
36.748247,3.948864
34.208416,43.890713
33.74324,44.623825
35.024167,8.024722
33.594013,73.069077
35.55,6.166667
34.417522,3.831195
36.919552,3.891396
36.724419,3.619247
33.420948,43.295662
36.803501,3.563821
33.953167,44.921906
36.564444,3.154167
36.562222,3.594444
33.74324,44.623825
36.789167,3.677222
36.72398,3.670848
36.335801,4.262044
36.919552,3.891396
33.349159,43.784199
33.737099,44.490696
31.98958,44.923775
31.98958,44.923775
33.773349,45.14945
34.208416,43.890713
33.74324,44.623825
33.19392,44.408577
33.8925,44.709722
33.773349,45.14945
34.271034,45.163567
33.74324,44.623825
33.953167,44.921906
33.848618,44.522125
36.763763,3.055413
36.763763,3.055413
35.815556,43.443889
36.287615,4.129991
36.727778,3.553889
36.562222,3.594444
36.562222,3.594444
33.594013,73.069077
34.057114,44.218292
33.74324,44.623825
36.745632,3.830243
33.848618,44.522125
33.303566,44.371773
33.303566,44.371773
32.926684,69.920086
33.303566,44.371773
36.73914,3.901676
33.543086,9.970034
36.680349,4.208192
36.772659,5.958971
33.303566,44.371773
31.50547,74.34288
33.571807,44.536067
35.271023,43.458084
34.621521,43.668377
33.671638,73.056068
33.368418,6.867525
15.325443,44.211895
34.621521,43.668377
34.186336,45.126056
33.74324,44.623825
36.891243,4.123217
15.325443,44.211895
33.303566,44.371773
33.693947,45.067425
36.562222,3.594444
33.693947,45.067425
33.74324,44.623825
15.45639,45.324871
34.010471,44.148235
15.45639,45.324871
33.420948,43.295662
33.74324,44.623825
15.964205,48.78252
36.535577,3.834176
33.693947,45.067425
33.693947,45.067425
36.266667,2.75
33.303566,44.371773
36.727778,3.553889
33.744999,45.545616
12.825647,44.846416
36.737011,6.716271
36.740312,3.174597
36.740312,3.174597
34.347343,45.383274
36.562222,3.594444
36.562222,3.594444
36.66774,3.59115
34.023571,44.031361
33.773349,45.14945
35.210234,4.188366
36.845,4.573889
36.845,4.573889
36.526829,4.277452
41.106178,28.689863
36.79778,3.7175
36.501,3.77396
33.716995,44.679516
36.562222,3.594444
33.303566,44.371773
33.303566,44.371773
33.303566,44.371773
36.716365,4.049834
36.802253,3.565254
36.772659,5.958971
36.72398,3.670848
36.37489,3.902
36.37489,3.902
33.716995,44.679516
35.55,6.166667
36.74472,4.37222
22.734151,-12.467545
15.325443,44.211895
33.303566,44.371773
36.75,5.85
33.74324,44.623825
36.723166,3.914166
33.303566,44.371773
33.303566,44.371773
33.303566,44.371773
33.303566,44.371773
36.919552,3.891396
35.870833,2.028889
33.571743,44.536211
36.178248,5.458124
36.8,4.266667
15.325443,44.211895
36.8,4.266667
36.767596,3.7029
33.303566,44.371773
33.303566,44.371773
33.303566,44.371773
13.511596,2.125385
35.905778,0.774386
33.403057,43.911865
36.266667,2.216667
15.0408,2.705
35.407139,8.120864
36.673564,5.481713
33.31065,44.038208
34.347343,45.383274
34.96725,7.907657
15.914915,48.650745
34.96725,7.907657
35.1575,8.195556
15.325443,44.211895
34.485829,7.518017
34.271034,45.163567
36.522222,4.203056
36.893792,4.420652
33.303566,44.371773
33.303566,44.371773
33.303566,44.371773
33.303566,44.371773
33.303566,44.371773
33.303566,44.371773
33.303566,44.371773
33.303566,44.371773
36.742004,3.726194
33.74324,44.623825
36.786668,3.603268
36.79885,6.15721
36.672703,3.809529
13.707198,1.77831
16.77532,-3.008265
36.077754,4.462888
35.036841,7.021988
18.079275,-15.965107
16.266667,-0.05
35.584338,5.860815
36.919552,3.891396
35.400171,0.139933
18.079275,-15.965107
36.72398,3.670848
21.543155,39.174905
36.592604,4.487702
36.519439,4.146745
36.612083,3.98778
33.74324,44.623825
36.866624,4.249595
14.681553,48.851287
33.74324,44.623825
15.914432,2.397368
18.1,-15.95
34.621521,43.668377
33.303566,44.371773
33.303566,44.371773
33.303566,44.371773
33.303566,44.371773
33.303566,44.371773
36.376823,42.448875
42.331685,-83.047924
15.6207,4.7832
27.560076,68.215714
17.905421,6.04542
