latitude,longitude,Attacktype,Deaths,nkill
34.208416,43.890713,Armed Assault,6,6
33.74324,44.623825,Bombing/Explosion,7,7
33.19392,44.408577,Armed Assault,14,14
33.8925,44.709722,Armed Assault,22,22
33.773349,45.14945,Armed Assault,22,22
34.271034,45.163567,Armed Assault,2,4
33.74324,44.623825,Armed Assault,1,4
33.953167,44.921906,Unknown,4,4
33.848618,44.522125,Armed Assault,5,5
36.763763,3.055413,Bombing/Explosion,20,20
36.763763,3.055413,Bombing/Explosion,19,19
35.815556,43.443889,Assassination,5,5
36.287615,4.129991,Bombing/Explosion,0,4
36.727778,3.553889,Bombing/Explosion,2,4
36.562222,3.594444,Bombing/Explosion,0,4
36.562222,3.594444,Bombing/Explosion,2,4
33.594013,73.069077,Assassination,20,20
34.057114,44.218292,Armed Assault,1,4
33.74324,44.623825,Bombing/Explosion,8,8
36.745632,3.830243,Bombing/Explosion,5,5
33.848618,44.522125,Armed Assault,0,4
33.303566,44.371773,Unknown,1,4
33.303566,44.371773,Bombing/Explosion,90,90
32.926684,69.920086,Bombing/Explosion,7,7
33.303566,44.371773,Bombing/Explosion,11,11
36.73914,3.901676,Bombing/Explosion,3,4
33.543086,9.970034,Hostage Taking (Kidnapping),0,4
36.680349,4.208192,Armed Assault,1,4
36.772659,5.958971,Bombing/Explosion,1,4
33.303566,44.371773,Bombing/Explosion,56,56
31.50547,74.34288,Bombing/Explosion,27,27
33.571807,44.536067,Armed Assault,5,5
35.271023,43.458084,Bombing/Explosion,4,4
34.621521,43.668377,Armed Assault,5,5
33.671638,73.056068,Bombing/Explosion,1,4
33.368418,6.867525,Assassination,2,4
15.325443,44.211895,Bombing/Explosion,2,4
34.621521,43.668377,Armed Assault,4,4
34.186336,45.126056,Bombing/Explosion,1,4
33.74324,44.623825,Bombing/Explosion,0,4
36.891243,4.123217,Armed Assault,1,4
15.325443,44.211895,Bombing/Explosion,0,4
33.303566,44.371773,Unknown,4,4
33.693947,45.067425,Bombing/Explosion,7,7
36.562222,3.594444,Bombing/Explosion,1,4
33.693947,45.067425,Bombing/Explosion,6,6
33.74324,44.623825,Armed Assault,0,4
15.45639,45.324871,Armed Assault,1,4
34.010471,44.148235,Armed Assault,4,4
15.45639,45.324871,Bombing/Explosion,0,4
33.420948,43.295662,Bombing/Explosion,14,14
33.74324,44.623825,Bombing/Explosion,42,42
15.964205,48.78252,Bombing/Explosion,0,4
36.535577,3.834176,Hostage Taking (Kidnapping),1,4
33.693947,45.067425,Bombing/Explosion,36,36
33.693947,45.067425,Hostage Taking (Kidnapping),0,4
36.266667,2.75,Armed Assault,9,9
33.303566,44.371773,Armed Assault,1,4
36.727778,3.553889,Hostage Taking (Kidnapping),0,4
33.744999,45.545616,Assassination,2,4
12.825647,44.846416,Bombing/Explosion,0,4
36.737011,6.716271,Bombing/Explosion,1,4
36.740312,3.174597,Bombing/Explosion,0,4
36.740312,3.174597,Bombing/Explosion,1,4
34.347343,45.383274,Armed Assault,5,5
36.562222,3.594444,Bombing/Explosion,2,4
36.562222,3.594444,Bombing/Explosion,10,10
36.66774,3.59115,Bombing/Explosion,2,4
34.023571,44.031361,Unknown,4,4
33.773349,45.14945,Hostage Taking (Kidnapping),0,4
35.210234,4.188366,Unknown,3,4
36.845,4.573889,Bombing/Explosion,0,4
36.845,4.573889,Bombing/Explosion,2,4
36.526829,4.277452,Bombing/Explosion,2,4
41.106178,28.689863,Armed Assault,6,6
36.79778,3.7175,Bombing/Explosion,0,4
36.501,3.77396,Bombing/Explosion,0,4
33.716995,44.679516,Hostage Taking (Kidnapping),1,4
36.562222,3.594444,Bombing/Explosion,1,4
33.303566,44.371773,Armed Assault,7,7
33.303566,44.371773,Bombing/Explosion,24,24
33.303566,44.371773,Bombing/Explosion,8,8
36.716365,4.049834,Bombing/Explosion,1,4
36.802253,3.565254,Bombing/Explosion,9,9
36.772659,5.958971,Assassination,3,4
36.72398,3.670848,Bombing/Explosion,44,44
36.37489,3.902,Bombing/Explosion,12,12
36.37489,3.902,Bombing/Explosion,3,4
33.716995,44.679516,Hostage Taking (Kidnapping),0,4
35.55,6.166667,Armed Assault,7,7
36.74472,4.37222,Bombing/Explosion,0,4
22.734151,-12.467545,Hostage Taking (Kidnapping),12,12
15.325443,44.211895,Bombing/Explosion,16,16
33.303566,44.371773,Bombing/Explosion,2,4
36.75,5.85,Bombing/Explosion,0,4
33.74324,44.623825,Hostage Taking (Kidnapping),0,4
36.723166,3.914166,Armed Assault,2,4
33.303566,44.371773,Bombing/Explosion,12,12
33.303566,44.371773,Bombing/Explosion,1,4
33.303566,44.371773,Bombing/Explosion,8,8
33.303566,44.371773,Bombing/Explosion,8,8
36.919552,3.891396,Bombing/Explosion,4,4
35.870833,2.028889,Armed Assault,6,6
33.571743,44.536211,Armed Assault,2,4
36.178248,5.458124,Bombing/Explosion,2,4
36.8,4.266667,Hostage Taking (Kidnapping),1,4
15.325443,44.211895,Bombing/Explosion,1,4
36.8,4.266667,Assassination,1,4
36.767596,3.7029,Armed Assault,1,4
33.303566,44.371773,Bombing/Explosion,32,32
33.303566,44.371773,Bombing/Explosion,0,4
33.303566,44.371773,Bombing/Explosion,0,4
13.511596,2.125385,Hostage Taking (Kidnapping),0,4
35.905778,0.774386,Bombing/Explosion,3,4
33.403057,43.911865,Facility/Infrastructure Attack,0,4
36.266667,2.216667,Armed Assault,1,4
15.0408,2.705,Hostage Taking (Kidnapping),1,4
35.407139,8.120864,Bombing/Explosion,7,7
36.673564,5.481713,Bombing/Explosion,9,9
33.31065,44.038208,Bombing/Explosion,34,34
34.347343,45.383274,Armed Assault,1,4
34.96725,7.907657,Bombing/Explosion,1,4
15.914915,48.650745,Bombing/Explosion,7,7
34.96725,7.907657,Bombing/Explosion,4,4
35.1575,8.195556,Bombing/Explosion,2,4
15.325443,44.211895,Bombing/Explosion,1,4
34.485829,7.518017,Bombing/Explosion,1,4
34.271034,45.163567,Bombing/Explosion,16,16
36.522222,4.203056,Armed Assault,2,4
36.893792,4.420652,Unknown,1,4
33.303566,44.371773,Bombing/Explosion,6,6
33.303566,44.371773,Bombing/Explosion,10,10
33.303566,44.371773,Bombing/Explosion,2,4
33.303566,44.371773,Bombing/Explosion,4,4
33.303566,44.371773,Bombing/Explosion,12,12
33.303566,44.371773,Bombing/Explosion,12,12
33.303566,44.371773,Bombing/Explosion,12,12
33.303566,44.371773,Bombing/Explosion,7,7
36.742004,3.726194,Bombing/Explosion,0,4
33.74324,44.623825,Bombing/Explosion,0,4
36.786668,3.603268,Armed Assault,2,4
36.79885,6.15721,Bombing/Explosion,0,4
36.672703,3.809529,Bombing/Explosion,10,10
13.707198,1.77831,Hostage Taking (Kidnapping),0,4
16.77532,-3.008265,Armed Assault,1,4
36.077754,4.462888,Bombing/Explosion,19,19
35.036841,7.021988,Armed Assault,5,5
18.079275,-15.965107,Hostage Taking (Kidnapping),1,4
16.266667,-0.05,Unknown,28,28
35.584338,5.860815,Bombing/Explosion,0,4
36.919552,3.891396,Bombing/Explosion,1,4
35.400171,0.139933,Unknown,2,4
18.079275,-15.965107,Bombing/Explosion,1,4
36.72398,3.670848,Bombing/Explosion,43,43
21.543155,39.174905,Assassination,1,4
36.592604,4.487702,Bombing/Explosion,0,4
36.519439,4.146745,Armed Assault,1,4
36.612083,3.98778,Armed Assault,7,7
33.74324,44.623825,Assassination,0,4
36.866624,4.249595,Hostage Taking (Kidnapping),0,4
14.681553,48.851287,Armed Assault,5,5
33.74324,44.623825,Assassination,2,4
15.914432,2.397368,Hostage Taking (Kidnapping),0,4
18.1,-15.95,Hostage Taking (Kidnapping),0,4
34.621521,43.668377,Assassination,6,6
33.303566,44.371773,Bombing/Explosion,26,26
33.303566,44.371773,Bombing/Explosion,26,26
33.303566,44.371773,Bombing/Explosion,26,26
33.303566,44.371773,Bombing/Explosion,27,27
33.303566,44.371773,Bombing/Explosion,27,27
36.376823,42.448875,Bombing/Explosion,2,4
42.331685,-83.047924,Bombing/Explosion,0,4
15.6207,4.7832,Unknown,4,4
27.560076,68.215714,Hostage Taking (Kidnapping),0,4
17.905421,6.04542,Hostage Taking (Kidnapping),1,4
33.303566,44.371773,Bombing/Explosion,3,4
33.303566,44.371773,Bombing/Explosion,5,5
33.303566,44.371773,Bombing/Explosion,6,6
33.303566,44.371773,Bombing/Explosion,1,4
33.303566,44.371773,Bombing/Explosion,0,4
33.303566,44.371773,Bombing/Explosion,20,20
33.303566,44.371773,Bombing/Explosion,19,19
36.188889,42.8025,Bombing/Explosion,0,4
15.325443,44.211895,Assassination,1,4
30.510054,47.778095,Bombing/Explosion,12,12
30.510054,47.778095,Bombing/Explosion,6,6
32.469238,44.416637,Bombing/Explosion,43,43
36.724419,3.619247,Bombing/Explosion,2,4
15.45639,45.324871,Bombing/Explosion,0,4
12.825647,44.846416,Armed Assault,13,13
22.785,5.52278,Unknown,11,11
13.129726,45.385571,Assassination,1,4
33.31065,44.038208,Bombing/Explosion,1,4
33.31065,44.038208,Bombing/Explosion,1,4
33.31065,44.038208,Bombing/Explosion,1,4
33.31065,44.038208,Bombing/Explosion,0,4
33.31065,44.038208,Bombing/Explosion,0,4
36.73914,3.901676,Bombing/Explosion,4,4
13.129726,45.385571,Bombing/Explosion,2,4
13.129726,45.385571,Armed Assault,3,4
33.303566,44.371773,Bombing/Explosion,43,43
34.363503,41.115997,Assassination,5,5
14.52618,46.844932,Armed Assault,5,5
14.52618,46.844932,Armed Assault,9,9
36.662321,4.079895,Bombing/Explosion,2,4
15.325443,44.211895,Armed Assault,3,4
33.303566,44.371773,Bombing/Explosion,8,8
33.303566,44.371773,Bombing/Explosion,8,8
12.838674,44.868883,Bombing/Explosion,1,4
13.683741,46.081752,Armed Assault,3,4
14.52618,46.844932,Armed Assault,1,4
36.881337,4.66188,Armed Assault,2,4
18.442701,1.411332,Hostage Taking (Kidnapping),1,4
13.063399,44.880882,Assassination,1,4
13.129726,45.385571,Armed Assault,1,4
35.703845,4.572282,Bombing/Explosion,1,4
36.81694,3.85722,Armed Assault,1,4
13.887403,45.863647,Bombing/Explosion,13,13
16.615866,-7.254218,Bombing/Explosion,1,4
15.45639,45.324871,Armed Assault,0,4
36.767847,3.604741,Bombing/Explosion,3,4
13.129726,45.385571,Armed Assault,1,4
13.683741,46.081752,Armed Assault,3,4
13.932036,46.083254,Armed Assault,3,4
32.533287,45.829453,Bombing/Explosion,0,4
36.684583,4.665693,Bombing/Explosion,0,4
14.691211,46.933789,Bombing/Explosion,0,4
14.279772,47.575336,Bombing/Explosion,2,4
18.73694,7.38528,Hostage Taking (Kidnapping),0,4
13.219398,45.307838,Assassination,0,4
13.887403,45.863647,Unknown,2,4
14.719504,46.868266,Unknown,2,4
14.208576,45.816908,Unknown,1,4
14.38252,47.399537,Unknown,6,6
15.325443,44.211895,Armed Assault,2,4
14.38252,47.399537,Bombing/Explosion,0,4
14.309823,46.937905,Armed Assault,3,4
35.567009,45.385494,Bombing/Explosion,1,4
36.762758,4.584531,Bombing/Explosion,5,5
13.683741,46.081752,Bombing/Explosion,0,4
14.54397,49.12458,Armed Assault,1,4
12.825647,44.846416,Bombing/Explosion,2,4
13.683741,46.081752,Bombing/Explosion,0,4
13.683741,46.081752,Assassination,1,4
13.932036,46.083254,Bombing/Explosion,2,4
13.129726,45.385571,Unknown,3,4
14.54397,49.12458,Assassination,1,4
36.724419,3.619247,Bombing/Explosion,1,4
52.829397,-1.332046,Bombing/Explosion,0,4
25.185573,55.303363,Bombing/Explosion,0,4
14.719504,46.868266,Bombing/Explosion,0,4
33.303566,44.371773,Bombing/Explosion,21,21
33.303566,44.371773,Bombing/Explosion,2,4
33.303566,44.371773,Bombing/Explosion,2,4
33.303566,44.371773,Bombing/Explosion,2,4
33.303566,44.371773,Bombing/Explosion,2,4
33.303566,44.371773,Bombing/Explosion,2,4
33.303566,44.371773,Bombing/Explosion,1,4
33.303566,44.371773,Bombing/Explosion,1,4
33.303566,44.371773,Bombing/Explosion,1,4
33.303566,44.371773,Bombing/Explosion,1,4
33.303566,44.371773,Bombing/Explosion,1,4
33.303566,44.371773,Bombing/Explosion,1,4
33.303566,44.371773,Bombing/Explosion,1,4
33.303566,44.371773,Bombing/Explosion,1,4
13.219398,45.307838,Unknown,3,4
13.702663,44.73357,Bombing/Explosion,2,4
16.249994,45.478097,Bombing/Explosion,16,16
16.249994,45.478097,Assassination,16,16
17.060139,43.599369,Bombing/Explosion,41,41
13.887403,45.863647,Bombing/Explosion,0,4
36.354145,43.14357,Armed Assault,1,4
13.129726,45.385571,Bombing/Explosion,5,5
13.129726,45.385571,Armed Assault,3,4
12.648483,-7.99414,Facility/Infrastructure Attack,0,4
13.511596,2.125385,Hostage Taking (Kidnapping),2,4
13.887403,45.863647,Bombing/Explosion,10,10
13.887403,45.863647,Assassination,4,4
14.326655,47.447216,Assassination,1,4
34.621521,43.668377,Bombing/Explosion,61,61
13.887403,45.863647,Armed Assault,1,4
15.45639,45.324871,Armed Assault,1,4
15.502404,45.449854,Unknown,1,4
18.079275,-15.965107,Assassination,0,4
15.325443,44.211895,Assassination,1,4
24.553989,9.484227,Hostage Taking (Kidnapping),0,4
17.866496,-14.658782,Armed Assault,1,4
13.88908,45.870951,Armed Assault,1,4
14.762732,49.605728,Assassination,1,4
15.964205,48.78252,Armed Assault,1,4
13.129726,45.385571,Armed Assault,1,4
14.54397,49.12458,Armed Assault,4,4
15.502404,45.449854,Armed Assault,6,6
13.219398,45.307838,Bombing/Explosion,110,110
34.621521,43.668377,Bombing/Explosion,68,68
33.303566,44.371773,Armed Assault,2,4
36.74704,4.370063,Armed Assault,14,14
13.129726,45.385571,Armed Assault,1,4
13.129726,45.385571,Armed Assault,0,4
12.825647,44.846416,Armed Assault,1,4
31.633333,-8,Bombing/Explosion,17,17
13.129726,45.385571,Armed Assault,3,4
36.814496,3.861964,Armed Assault,1,4
15.45639,45.324871,Bombing/Explosion,4,4
14.413989,44.837418,Armed Assault,6,6
13.683741,46.081752,Hostage Taking (Kidnapping),0,4
13.129726,45.385571,Armed Assault,1,4
32.31863,10.395596,Bombing/Explosion,0,4
14.54397,49.12458,Armed Assault,3,4
35.651733,9.055869,Armed Assault,4,4
14.326655,47.447216,Armed Assault,0,4
15.325443,44.211895,Assassination,7,7
13.129726,45.385571,Unknown,10,10
12.825647,44.846416,Armed Assault,0,4
13.129726,45.385571,Armed Assault,15,15
18.739003,7.389477,Armed Assault,2,4
13.219398,45.307838,Hostage Taking (Kidnapping),0,4
13.063399,44.880882,Armed Assault,3,4
12.825647,44.846416,Assassination,1,4
13.129726,45.385571,Hostage Taking (Kidnapping),0,4
13.129726,45.385571,Hostage Taking (Kidnapping),0,4
13.129726,45.385571,Armed Assault,19,19
36.714164,4.050111,Armed Assault,2,4
18.673703,-7.092877,Armed Assault,0,4
13.887403,45.863647,Armed Assault,10,10
13.129726,45.385571,Unknown,3,4
13.683741,46.081752,Facility/Infrastructure Attack,0,4
36.741667,3.723056,Bombing/Explosion,,4
12.825647,44.846416,Bombing/Explosion,1,4
12.825647,44.846416,Bombing/Explosion,6,6
13.129726,45.385571,Unknown,12,12
31.50547,74.34288,Hostage Taking (Kidnapping),1,4
16.199874,44.408998,Bombing/Explosion,14,14
34.271034,45.163567,Bombing/Explosion,1,4
36.714164,4.050111,Armed Assault,2,4
13.357599,45.69648,Unknown,0,4
13.932036,46.083254,Bombing/Explosion,5,5
13.129726,45.385571,Bombing/Explosion,10,10
13.683741,46.081752,Unknown,14,14
13.357599,45.69648,Bombing/Explosion,0,4
34.125729,45.003342,Armed Assault,1,4
13.129726,45.385571,Bombing/Explosion,8,8
13.683741,46.081752,Unknown,36,36
13.129726,45.385571,Armed Assault,18,18
13.129726,45.385571,Facility/Infrastructure Attack,10,10
14.719504,46.868266,Unknown,,4
13.129726,45.385571,Bombing/Explosion,2,4
13.129726,45.385571,Bombing/Explosion,6,6
12.825647,44.846416,Armed Assault,1,4
32.468191,44.550194,Bombing/Explosion,5,5
13.129726,45.385571,Armed Assault,1,4
